8155,Fur and leather preparing machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
2114,Geologists and geophysicists,211,Physical and earth science professionals,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2114,Geologists and geophysicists,211,Physical and earth science professionals,21,"Ovens, furnaces, furnace burners",2,Machines
2114,Geologists and geophysicists,211,Physical and earth science professionals,21,"Ovens, furnaces, furnace burners",2,Professionals
2114,Geologists and geophysicists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Machines
2114,Geologists and geophysicists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Professionals
3354,Government licensing officials,335,Regulatory government associate professionals,33,Business and administration associate professionals,3,Equipment
3354,Government licensing officials,335,Regulatory government associate professionals,33,Business and administration associate professionals,3,Technicians and associate professionals
3354,Government licensing officials,335,Regulatory government associate professionals,33,Repair and installation of machinery and equipment,C,Manufacturing
3354,Government licensing officials,335,Regulatory government associate professionals,33,Equipment for work with electricity,3,Equipment
3354,Government licensing officials,335,Regulatory government associate professionals,33,Equipment for work with electricity,3,Technicians and associate professionals
3352,Government tax and excise officials,335,Regulatory government associate professionals,33,Business and administration associate professionals,3,Equipment
3352,Government tax and excise officials,335,Regulatory government associate professionals,33,Business and administration associate professionals,3,Technicians and associate professionals
3352,Government tax and excise officials,335,Regulatory government associate professionals,33,Repair and installation of machinery and equipment,C,Manufacturing
3352,Government tax and excise officials,335,Regulatory government associate professionals,33,Equipment for work with electricity,3,Equipment
3352,Government tax and excise officials,335,Regulatory government associate professionals,33,Equipment for work with electricity,3,Technicians and associate professionals
2166,Graphic and multimedia designers,216,"Architects, planners, surveyors and designers",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2166,Graphic and multimedia designers,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Machines
2166,Graphic and multimedia designers,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Professionals
2166,Graphic and multimedia designers,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Machines
2166,Graphic and multimedia designers,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
5141,Hairdressers,514,"Hairdressers, beauticians and related workers",51,Air transport,"H ",Transportation and storage
5141,Hairdressers,514,"Hairdressers, beauticians and related workers",51,Personal Services,5,Service and sales workers
9331,Hand and pedal vehicle drivers,933,Transport and storage labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9331,Hand and pedal vehicle drivers,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
7318,"Handicraft workers in textile, leather and related materials",731,Handicraft workers,73,Advertising and market research,M,"Professional, scientific and technical activities"
7318,"Handicraft workers in textile, leather and related materials",731,Handicraft workers,73,Handicraft and printing workers,7,Craft and related trades workers
7318,"Handicraft workers in textile, leather and related materials",731,Advertising,73,Advertising and market research,M,"Professional, scientific and technical activities"
7318,"Handicraft workers in textile, leather and related materials",731,Advertising,73,Handicraft and printing workers,7,Craft and related trades workers
1342,Health services managers,134,Professional services managers,13,Manufacture of textiles,C,Manufacturing
1342,Health services managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1342,Health services managers,134,Professional services managers,13,Production and specialised services managers,1,Tools
5322,Home-based personal care workers,532,Personal care workers in health services,53,Postal and courier activities,"H ",Transportation and storage
5322,Home-based personal care workers,532,Personal care workers in health services,53,Personal care workers,5,Service and sales workers
